,tool,task,model,fold,train,val,test,overfit,seed
0,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_individual_model,0,0.0,0.0,0.0,0.0,117
1,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_ensemble_model,0,0.8753311131588083,inf,0.8841991341991342,0.0,117
2,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_individual_model,1,0.0,0.0,0.0,0.0,117
3,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_ensemble_model,1,0.8817675600919376,inf,0.8133116883116883,0.0,117
4,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_individual_model,2,0.0,0.0,0.0,0.0,117
5,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_ensemble_model,2,0.8661950000167596,inf,0.8024891774891775,0.0,117
6,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_individual_model,3,0.0,0.0,0.0,0.0,117
7,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_ensemble_model,3,0.8753239133622026,inf,0.8609307359307359,0.0,117
8,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_individual_model,4,0.0,0.0,0.0,0.0,117
9,autosklearnBBCScoreEnsemble_es10_B50_N0.5,vehicle,best_ensemble_model,4,0.8723203882628071,inf,0.8841991341991342,0.0,117
