,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnRESHUFFLING,cnae-9,best_ensemble_model,0,,,-0.146703,,3600s1c8G
1,autosklearnRESHUFFLING,cnae-9,best_ensemble_model,1,,,-0.302863,,3600s1c8G
2,autosklearnRESHUFFLING,cnae-9,best_ensemble_model,2,,,-0.142536,,3600s1c8G
3,autosklearnRESHUFFLING,cnae-9,best_ensemble_model,3,,,-0.151287,,3600s1c8G
4,autosklearnRESHUFFLING,cnae-9,best_ensemble_model,4,,,-0.148849,,3600s1c8G
5,autosklearnRESHUFFLING,higgs,best_ensemble_model,0,,,0.815163,,3600s1c8G
6,autosklearnRESHUFFLING,higgs,best_ensemble_model,1,,,0.805987,,3600s1c8G
7,autosklearnRESHUFFLING,higgs,best_ensemble_model,2,,,0.813785,,3600s1c8G
8,autosklearnRESHUFFLING,higgs,best_ensemble_model,3,,,0.816021,,3600s1c8G
9,autosklearnRESHUFFLING,higgs,best_ensemble_model,4,,,0.817327,,3600s1c8G
10,autosklearnRESHUFFLING,kr-vs-kp,best_ensemble_model,0,,,0.999961,,3600s1c8G
11,autosklearnRESHUFFLING,kr-vs-kp,best_ensemble_model,1,,,0.999922,,3600s1c8G
12,autosklearnRESHUFFLING,kr-vs-kp,best_ensemble_model,2,,,0.999452,,3600s1c8G
13,autosklearnRESHUFFLING,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s1c8G
14,autosklearnRESHUFFLING,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s1c8G
15,autosklearnRESHUFFLING,vehicle,best_ensemble_model,0,,,-0.334177,,3600s1c8G
16,autosklearnRESHUFFLING,vehicle,best_ensemble_model,1,,,-0.341811,,3600s1c8G
17,autosklearnRESHUFFLING,vehicle,best_ensemble_model,2,,,-0.377963,,3600s1c8G
18,autosklearnRESHUFFLING,vehicle,best_ensemble_model,3,,,-0.350499,,3600s1c8G
19,autosklearnRESHUFFLING,vehicle,best_ensemble_model,4,,,-0.296592,,3600s1c8G
20,autosklearnRESHUFFLING,MiniBooNE,best_ensemble_model,0,,,0.983865,,3600s1c8G
21,autosklearnRESHUFFLING,MiniBooNE,best_ensemble_model,1,,,0.984781,,3600s1c8G
22,autosklearnRESHUFFLING,MiniBooNE,best_ensemble_model,2,,,0.984814,,3600s1c8G
23,autosklearnRESHUFFLING,MiniBooNE,best_ensemble_model,3,,,0.98542,,3600s1c8G
24,autosklearnRESHUFFLING,MiniBooNE,best_ensemble_model,4,,,0.986,,3600s1c8G
25,autosklearnRESHUFFLING,connect-4,best_ensemble_model,0,,,-0.463239,,3600s1c8G
26,autosklearnRESHUFFLING,connect-4,best_ensemble_model,1,,,-0.437963,,3600s1c8G
27,autosklearnRESHUFFLING,connect-4,best_ensemble_model,2,,,-0.428612,,3600s1c8G
28,autosklearnRESHUFFLING,connect-4,best_ensemble_model,3,,,-0.469536,,3600s1c8G
29,autosklearnRESHUFFLING,connect-4,best_ensemble_model,4,,,-0.434484,,3600s1c8G
30,autosklearnRESHUFFLING,segment,best_ensemble_model,0,,,-0.057902,,3600s1c8G
31,autosklearnRESHUFFLING,segment,best_ensemble_model,1,,,-0.035953,,3600s1c8G
32,autosklearnRESHUFFLING,segment,best_ensemble_model,2,,,-0.0297994,,3600s1c8G
33,autosklearnRESHUFFLING,segment,best_ensemble_model,3,,,-0.0301618,,3600s1c8G
34,autosklearnRESHUFFLING,segment,best_ensemble_model,4,,,-0.00811827,,3600s1c8G
35,autosklearnRESHUFFLING,Australian,best_ensemble_model,0,,,0.943124,,3600s1c8G
36,autosklearnRESHUFFLING,Australian,best_ensemble_model,1,,,0.912564,,3600s1c8G
37,autosklearnRESHUFFLING,Australian,best_ensemble_model,2,,,0.926995,,3600s1c8G
38,autosklearnRESHUFFLING,Australian,best_ensemble_model,3,,,0.942275,,3600s1c8G
39,autosklearnRESHUFFLING,Australian,best_ensemble_model,4,,,0.945671,,3600s1c8G
40,autosklearnRESHUFFLING,adult,best_ensemble_model,0,,,0.932938,,3600s1c8G
41,autosklearnRESHUFFLING,adult,best_ensemble_model,1,,,0.92915,,3600s1c8G
42,autosklearnRESHUFFLING,adult,best_ensemble_model,2,,,0.930856,,3600s1c8G
43,autosklearnRESHUFFLING,adult,best_ensemble_model,3,,,0.927098,,3600s1c8G
44,autosklearnRESHUFFLING,adult,best_ensemble_model,4,,,0.927842,,3600s1c8G
45,autosklearnRESHUFFLING,Albert,best_ensemble_model,0,,,0.694305,,3600s1c8G
46,autosklearnRESHUFFLING,Albert,best_ensemble_model,1,,,0.587404,,3600s1c8G
47,autosklearnRESHUFFLING,Albert,best_ensemble_model,2,,,0.588773,,3600s1c8G
48,autosklearnRESHUFFLING,Albert,best_ensemble_model,3,,,0.586019,,3600s1c8G
49,autosklearnRESHUFFLING,Albert,best_ensemble_model,4,,,0.695235,,3600s1c8G
