,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearn_metaminiboone_all,cnae-9,best_ensemble_model,0,,,0.9722219999999999,,3600s8c32G
1,autosklearn_metaminiboone_all,cnae-9,best_ensemble_model,1,,,0.916667,,3600s8c32G
2,autosklearn_metaminiboone_all,cnae-9,best_ensemble_model,2,,,0.9537040000000001,,3600s8c32G
3,autosklearn_metaminiboone_all,cnae-9,best_ensemble_model,3,,,0.925926,,3600s8c32G
4,autosklearn_metaminiboone_all,cnae-9,best_ensemble_model,4,,,0.9629629999999999,,3600s8c32G
5,autosklearn_metaminiboone_all,higgs,best_ensemble_model,0,,,0.736942,,3600s8c32G
6,autosklearn_metaminiboone_all,higgs,best_ensemble_model,1,,,0.723413,,3600s8c32G
7,autosklearn_metaminiboone_all,higgs,best_ensemble_model,2,,,0.731925,,3600s8c32G
8,autosklearn_metaminiboone_all,higgs,best_ensemble_model,3,,,0.733456,,3600s8c32G
9,autosklearn_metaminiboone_all,higgs,best_ensemble_model,4,,,0.738893,,3600s8c32G
10,autosklearn_metaminiboone_all,kr-vs-kp,best_ensemble_model,0,,,0.9937379999999999,,3600s8c32G
11,autosklearn_metaminiboone_all,kr-vs-kp,best_ensemble_model,1,,,0.9910180000000001,,3600s8c32G
12,autosklearn_metaminiboone_all,kr-vs-kp,best_ensemble_model,2,,,0.996732,,3600s8c32G
13,autosklearn_metaminiboone_all,kr-vs-kp,best_ensemble_model,3,,,1.0,,3600s8c32G
14,autosklearn_metaminiboone_all,kr-vs-kp,best_ensemble_model,4,,,1.0,,3600s8c32G
15,autosklearn_metaminiboone_all,vehicle,best_ensemble_model,0,,,0.871699,,3600s8c32G
16,autosklearn_metaminiboone_all,vehicle,best_ensemble_model,1,,,0.8138529999999999,,3600s8c32G
17,autosklearn_metaminiboone_all,vehicle,best_ensemble_model,2,,,0.836039,,3600s8c32G
18,autosklearn_metaminiboone_all,vehicle,best_ensemble_model,3,,,0.8376620000000001,,3600s8c32G
19,autosklearn_metaminiboone_all,vehicle,best_ensemble_model,4,,,0.8620129999999999,,3600s8c32G
20,autosklearn_metaminiboone_all,MiniBooNE,best_ensemble_model,0,,,0.9395399999999999,,3600s8c32G
21,autosklearn_metaminiboone_all,MiniBooNE,best_ensemble_model,1,,,0.940492,,3600s8c32G
22,autosklearn_metaminiboone_all,MiniBooNE,best_ensemble_model,2,,,0.94371,,3600s8c32G
23,autosklearn_metaminiboone_all,MiniBooNE,best_ensemble_model,3,,,0.94555,,3600s8c32G
24,autosklearn_metaminiboone_all,MiniBooNE,best_ensemble_model,4,,,0.945124,,3600s8c32G
25,autosklearn_metaminiboone_all,connect-4,best_ensemble_model,0,,,0.771972,,3600s8c32G
26,autosklearn_metaminiboone_all,connect-4,best_ensemble_model,1,,,0.7634920000000001,,3600s8c32G
27,autosklearn_metaminiboone_all,connect-4,best_ensemble_model,2,,,0.78235,,3600s8c32G
28,autosklearn_metaminiboone_all,connect-4,best_ensemble_model,3,,,0.764317,,3600s8c32G
29,autosklearn_metaminiboone_all,connect-4,best_ensemble_model,4,,,0.771779,,3600s8c32G
30,autosklearn_metaminiboone_all,segment,best_ensemble_model,0,,,0.9913420000000001,,3600s8c32G
31,autosklearn_metaminiboone_all,segment,best_ensemble_model,1,,,0.982684,,3600s8c32G
32,autosklearn_metaminiboone_all,segment,best_ensemble_model,2,,,0.982684,,3600s8c32G
33,autosklearn_metaminiboone_all,segment,best_ensemble_model,3,,,0.9956709999999999,,3600s8c32G
34,autosklearn_metaminiboone_all,segment,best_ensemble_model,4,,,1.0,,3600s8c32G
35,autosklearn_metaminiboone_all,Australian,best_ensemble_model,0,,,0.9019520000000001,,3600s8c32G
36,autosklearn_metaminiboone_all,Australian,best_ensemble_model,1,,,0.815365,,3600s8c32G
37,autosklearn_metaminiboone_all,Australian,best_ensemble_model,2,,,0.84635,,3600s8c32G
38,autosklearn_metaminiboone_all,Australian,best_ensemble_model,3,,,0.84635,,3600s8c32G
39,autosklearn_metaminiboone_all,Australian,best_ensemble_model,4,,,0.9151100000000001,,3600s8c32G
40,autosklearn_metaminiboone_all,adult,best_ensemble_model,0,,,0.846648,,3600s8c32G
41,autosklearn_metaminiboone_all,adult,best_ensemble_model,1,,,0.8366469999999999,,3600s8c32G
42,autosklearn_metaminiboone_all,adult,best_ensemble_model,2,,,0.849319,,3600s8c32G
43,autosklearn_metaminiboone_all,adult,best_ensemble_model,3,,,0.84406,,3600s8c32G
44,autosklearn_metaminiboone_all,adult,best_ensemble_model,4,,,0.8367209999999999,,3600s8c32G
45,autosklearn_metaminiboone_all,Albert,best_ensemble_model,0,,,0.687659,,3600s8c32G
46,autosklearn_metaminiboone_all,Albert,best_ensemble_model,1,,,0.688646,,3600s8c32G
47,autosklearn_metaminiboone_all,Albert,best_ensemble_model,2,,,0.693067,,3600s8c32G
48,autosklearn_metaminiboone_all,Albert,best_ensemble_model,3,,,0.695819,,3600s8c32G
49,autosklearn_metaminiboone_all,Albert,best_ensemble_model,4,,,0.691022,,3600s8c32G
